In,PunchCode,PunchDate,Hours,Weekday
277,OUT,5/13/2020,978,Wednesday
278,MAEL,5/13/2020,0,Wednesday
279,MEAL,5/13/2020,0,Wednesday
280,INN,5/13/2020,539,Wednesday
281,OUT,5/12/2020,960,Tuesday
282,MAEL,5/12/2020,0,Tuesday
283,MEAL,5/12/2020,0,Tuesday
284,INN,5/12/2020,480,Tuesday
285,OUT,5/11/2020,980,Monday
286,MAEL,5/11/2020,0,Monday
287,MEAL,5/11/2020,0,Monday
288,INN,5/11/2020,545,Monday
289,OUT,5/9/2020,660,Saturday
290,MAEL,5/9/2020,0,Saturday
291,MEAL,5/9/2020,0,Saturday
292,INN,5/9/2020,540,Saturday
293,OUT,5/8/2020,979,Friday
294,MAEL,5/8/2020,0,Friday
295,MEAL,5/8/2020,0,Friday
296,INN,5/8/2020,539,Friday
297,OUT,5/7/2020,960,Thursday
298,MAEL,5/7/2020,0,Thursday
299,MEAL,5/7/2020,0,Thursday
300,INN,5/7/2020,480,Thursday
301,OUT,5/6/2020,984,Wednesday
302,MAEL,5/6/2020,0,Wednesday
303,MEAL,5/6/2020,0,Wednesday
304,INN,5/6/2020,544,Wednesday
305,OUT,5/5/2020,960,Tuesday
306,MAEL,5/5/2020,0,Tuesday
307,MEAL,5/5/2020,0,Tuesday
308,INN,5/5/2020,480,Tuesday
309,OUT,5/4/2020,980,Monday
310,MAEL,5/4/2020,0,Monday
311,MEAL,5/4/2020,0,Monday
312,INN,5/4/2020,540,Monday
313,OUT,5/3/2020,0,Sunday
314,MAEL,5/3/2020,0,Sunday
315,MEAL,5/3/2020,0,Sunday
316,INN,5/3/2020,0,Sunday
317,OUT,5/2/2020,670,Saturday
318,MAEL,5/2/2020,0,Saturday
319,MEAL,5/2/2020,0,Saturday
320,INN,5/2/2020,540,Saturday
321,OUT,5/1/2020,985,Friday
322,MAEL,5/1/2020,0,Friday
323,MEAL,5/1/2020,0,Friday
324,INN,5/1/2020,544,Friday
325,OUT,4/30/2020,960,Thursday
326,MAEL,4/30/2020,0,Thursday
327,MEAL,4/30/2020,0,Thursday
328,INN,4/30/2020,480,Thursday
329,OUT,4/29/2020,975,Wednesday
330,MAEL,4/29/2020,0,Wednesday
331,MEAL,4/29/2020,0,Wednesday
332,INN,4/29/2020,545,Wednesday
333,OUT,4/28/2020,960,Tuesday
334,MAEL,4/28/2020,0,Tuesday
335,MEAL,4/28/2020,0,Tuesday
336,INN,4/28/2020,480,Tuesday
337,OUT,4/27/2020,978,Monday
338,MAEL,4/27/2020,0,Monday
339,MEAL,4/27/2020,0,Monday
340,INN,4/27/2020,539,Monday
341,OUT,4/25/2020,0,Saturday
342,MAEL,4/25/2020,0,Saturday
343,MEAL,4/25/2020,0,Saturday
344,INN,4/25/2020,0,Saturday
345,OUT,4/24/2020,960,Friday
346,MAEL,4/24/2020,0,Friday
347,MEAL,4/24/2020,0,Friday
348,INN,4/24/2020,480,Friday
349,OUT,4/23/2020,960,Thursday
350,MAEL,4/23/2020,0,Thursday
351,MEAL,4/23/2020,0,Thursday
352,INN,4/23/2020,480,Thursday
353,OUT,4/22/2020,960,Wednesday
354,MAEL,4/22/2020,0,Wednesday
355,MEAL,4/22/2020,0,Wednesday
356,INN,4/22/2020,480,Wednesday
357,OUT,4/21/2020,960,Tuesday
358,MAEL,4/21/2020,0,Tuesday
359,MEAL,4/21/2020,0,Tuesday
360,INN,4/21/2020,480,Tuesday
361,OUT,4/20/2020,960,Monday
362,MAEL,4/20/2020,0,Monday
363,MEAL,4/20/2020,0,Monday
364,INN,4/20/2020,480,Monday
365,OUT,4/18/2020,795,Saturday
366,MAEL,4/18/2020,0,Saturday
367,MEAL,4/18/2020,0,Saturday
368,INN,4/18/2020,543,Saturday
369,OUT,4/17/2020,970,Friday
370,MAEL,4/17/2020,0,Friday
371,MEAL,4/17/2020,0,Friday
372,INN,4/17/2020,541,Friday
373,OUT,4/16/2020,976,Thursday
374,MAEL,4/16/2020,0,Thursday
375,MEAL,4/16/2020,0,Thursday
376,INN,4/16/2020,542,Thursday
377,OUT,4/15/2020,976,Wednesday
378,MAEL,4/15/2020,0,Wednesday
379,MEAL,4/15/2020,0,Wednesday
380,INN,4/15/2020,544,Wednesday
381,OUT,4/14/2020,971,Tuesday
382,MAEL,4/14/2020,0,Tuesday
383,MEAL,4/14/2020,0,Tuesday
384,INN,4/14/2020,539,Tuesday
385,OUT,4/13/2020,967,Monday
386,MAEL,4/13/2020,0,Monday
387,MEAL,4/13/2020,0,Monday
388,INN,4/13/2020,542,Monday
389,OUT,4/11/2020,0,Saturday
390,MAEL,4/11/2020,0,Saturday
391,MEAL,4/11/2020,0,Saturday
392,INN,4/11/2020,0,Saturday
393,OUT,4/10/2020,960,Friday
394,MAEL,4/10/2020,0,Friday
395,MEAL,4/10/2020,0,Friday
396,INN,4/10/2020,480,Friday
